id;lang_type;title;description;text;cts
1;проспект complexity;ПО оператор;drive интерфейс Borders;../fake-data/blob/hipster.txt;2021-05-16T15:20:16
2;clicks-and-mortar Account website;Практичный Камчатская;интеграционный Balanced запрограммировать;../fake-data/blob/hipster.txt;2021-05-17T06:28:29
3;Forint Profit-focused сокет;свободно-распростроняемый распарсить;(Южная);../fake-data/blob/hipster.txt;2021-05-17T09:20:14
4;желтый пл.;full-range соединение переопределить;Account навигировать;../fake-data/blob/hipster.txt;2021-05-17T06:57:36
5;Курганская;PNG;infomediaries;../fake-data/blob/hipster.txt;2021-05-17T02:45:17
6;Account Account;Региональный deliver blockchains;payment Центральный;../fake-data/blob/hipster.txt;2021-05-17T07:42:05
7;пр. область ability;non-volatile;HTTP дизайнер передача;../fake-data/blob/hipster.txt;2021-05-16T16:53:02
8;разобрать;вспомогательный передатчик;out-of-the-box Швеция Резиновый;../fake-data/blob/hipster.txt;2021-05-17T02:20:15
9;maximize пр. разработчик;deposit radical deposit;страховой;../fake-data/blob/hipster.txt;2021-05-17T02:33:08
10;Областной Tala superstructure;аналитик interfaces strategic;Дом 24/365;../fake-data/blob/hipster.txt;2021-05-17T02:40:14
